Department,Department ID,Employee ID,Employee Name,Nationality,Location,Performance Band,Salary,Designation,Succession Planning,Gender,Training Programs Enrolled
Finance,5,3593,Employee_1,Indian,Dubai,4. Exceeds Expectations,26008,Analyst,Completed,Male,9
Sales,6,8240,Employee_2,Filipino,Ras Al Khaimah,1. Good,6633,Analyst,Not Started,Female,1
HR,2,7937,Employee_3,Jordanian,Umm Al Quwain,4. Exceeds Expectations,17485,Analyst,Not Started,Female,0
Finance,5,7190,Employee_4,Indian,Umm Al Quwain,5. Outstanding,48617,Executive,In Progress,Female,8
Operations,4,6240,Employee_5,Pakistani,Fujairah,1. Good,8648,Analyst,In Progress,Male,1
Research & Development,9,7493,Employee_6,Indian,Umm Al Quwain,4. Exceeds Expectations,18140,Manager,Completed,Female,7
Sales,6,3878,Employee_7,Indian,Abu Dhabi,3. Meets Expectations,22921,Manager,Not Started,Male,8
HR,2,5143,Employee_8,Jordanian,Fujairah,5. Outstanding,19357,Executive,Completed,Male,3
IT,1,4644,Employee_9,Pakistani,Fujairah,5. Outstanding,8137,Vice President,In Progress,Female,7
Finance,5,5432,Employee_10,Egyptian,Ajman,5. Outstanding,5097,Senior Analyst,Not Started,Female,8
Research & Development,9,2276,Employee_11,Egyptian,Umm Al Quwain,3. Meets Expectations,16407,Associate,Not Started,Male,9
Sales,6,6811,Employee_12,Indian,Ras Al Khaimah,3. Meets Expectations,35575,Associate,In Progress,Female,9
Customer Support,7,1302,Employee_13,Pakistani,Fujairah,2. Very Good,17722,Executive,Completed,Female,4
Finance,5,1638,Employee_14,Pakistani,Ras Al Khaimah,4. Exceeds Expectations,17924,Manager,Completed,Male,6
Sales,6,1055,Employee_15,Jordanian,Abu Dhabi,2. Very Good,8750,Associate,Not Started,Female,9
Finance,5,9717,Employee_16,Filipino,Ajman,4. Exceeds Expectations,32733,Manager,In Progress,Male,3
Research & Development,9,9150,Employee_17,Egyptian,Dubai,3. Meets Expectations,13535,Vice President,Not Started,Male,0
Sales,6,3125,Employee_18,Jordanian,Ras Al Khaimah,3. Meets Expectations,29487,Senior Analyst,In Progress,Female,2
Product Development,8,1364,Employee_19,Emirati,Fujairah,2. Very Good,35651,Vice President,Completed,Male,4
HR,2,7809,Employee_20,Egyptian,Abu Dhabi,1. Good,9666,Executive,In Progress,Male,2
Research & Development,9,5621,Employee_21,Jordanian,Sharjah,2. Very Good,21994,Analyst,Completed,Female,6
Finance,5,6126,Employee_22,Egyptian,Abu Dhabi,4. Exceeds Expectations,6727,Analyst,In Progress,Female,8
Customer Support,7,6122,Employee_23,Filipino,Abu Dhabi,2. Very Good,39622,Analyst,Not Started,Female,5
IT,1,2646,Employee_24,Emirati,Ajman,5. Outstanding,15800,Vice President,Completed,Male,9
Finance,5,1918,Employee_25,Filipino,Dubai,4. Exceeds Expectations,42823,Associate,Not Started,Male,0
HR,2,3797,Employee_26,Emirati,Sharjah,4. Exceeds Expectations,48039,Senior Analyst,Not Started,Female,6
Sales,6,7506,Employee_27,Indian,Umm Al Quwain,1. Good,23708,Analyst,Completed,Male,2
IT,1,6870,Employee_28,Jordanian,Umm Al Quwain,3. Meets Expectations,17819,Executive,Completed,Female,4
Marketing,3,2531,Employee_29,Emirati,Ras Al Khaimah,4. Exceeds Expectations,14369,Executive,Not Started,Female,9
Finance,5,9172,Employee_30,Filipino,Abu Dhabi,3. Meets Expectations,14283,Analyst,Not Started,Male,3
Operations,4,4345,Employee_31,Egyptian,Ajman,2. Very Good,35573,Analyst,Not Started,Female,9
Marketing,3,8673,Employee_32,Emirati,Ajman,5. Outstanding,18171,Senior Analyst,Not Started,Male,4
Finance,5,7949,Employee_33,Jordanian,Umm Al Quwain,1. Good,35933,Analyst,Completed,Male,4
Product Development,8,7882,Employee_34,Emirati,Ras Al Khaimah,3. Meets Expectations,10774,Senior Analyst,Completed,Female,5
Operations,4,2906,Employee_35,Pakistani,Ras Al Khaimah,4. Exceeds Expectations,11519,Executive,Not Started,Male,9
IT,1,4086,Employee_36,Egyptian,Ras Al Khaimah,3. Meets Expectations,15983,Analyst,In Progress,Female,9
Customer Support,7,9152,Employee_37,Jordanian,Sharjah,4. Exceeds Expectations,35932,Vice President,In Progress,Male,5
Product Development,8,6750,Employee_38,Jordanian,Dubai,3. Meets Expectations,35798,Vice President,Completed,Male,7
Marketing,3,9905,Employee_39,Indian,Sharjah,4. Exceeds Expectations,23133,Executive,Not Started,Male,7
Sales,6,2062,Employee_40,Filipino,Fujairah,2. Very Good,19939,Senior Analyst,Not Started,Female,8
HR,2,2976,Employee_41,Indian,Fujairah,4. Exceeds Expectations,5781,Vice President,Completed,Male,7
Customer Support,7,2296,Employee_42,Jordanian,Dubai,4. Exceeds Expectations,32624,Senior Analyst,In Progress,Female,1
Product Development,8,7229,Employee_43,Egyptian,Umm Al Quwain,5. Outstanding,11823,Vice President,In Progress,Male,9
Sales,6,8641,Employee_44,Emirati,Dubai,4. Exceeds Expectations,23489,Vice President,In Progress,Male,0
Sales,6,1125,Employee_45,Emirati,Ajman,5. Outstanding,44961,Senior Analyst,Completed,Female,9
Finance,5,5632,Employee_46,Egyptian,Fujairah,1. Good,34118,Associate,In Progress,Female,1
Product Development,8,7288,Employee_47,Jordanian,Abu Dhabi,5. Outstanding,39881,Vice President,Completed,Female,1
IT,1,4596,Employee_48,Emirati,Abu Dhabi,2. Very Good,21280,Analyst,Completed,Female,2
Operations,4,7168,Employee_49,Emirati,Umm Al Quwain,5. Outstanding,27263,Executive,Not Started,Female,9
Operations,4,8561,Employee_50,Emirati,Ajman,1. Good,18565,Associate,In Progress,Male,6
Marketing,3,9258,Employee_51,Filipino,Sharjah,2. Very Good,25354,Senior Analyst,Completed,Male,1
Marketing,3,1232,Employee_52,Filipino,Ajman,3. Meets Expectations,47951,Associate,In Progress,Female,0
Operations,4,7371,Employee_53,Pakistani,Abu Dhabi,3. Meets Expectations,30643,Manager,In Progress,Male,5
IT,1,5206,Employee_54,Indian,Abu Dhabi,5. Outstanding,28648,Manager,Not Started,Male,8
HR,2,8943,Employee_55,Egyptian,Fujairah,5. Outstanding,46971,Vice President,In Progress,Male,2
Research & Development,9,7891,Employee_56,Egyptian,Ajman,1. Good,23658,Vice President,Not Started,Female,5
HR,2,7738,Employee_57,Egyptian,Ajman,1. Good,26253,Analyst,Completed,Male,2
Finance,5,3472,Employee_58,Pakistani,Abu Dhabi,4. Exceeds Expectations,31390,Executive,In Progress,Male,0
Research & Development,9,3739,Employee_59,Filipino,Sharjah,1. Good,28128,Associate,Completed,Male,4
Research & Development,9,6401,Employee_60,Jordanian,Umm Al Quwain,4. Exceeds Expectations,18489,Manager,In Progress,Female,9
Product Development,8,2761,Employee_61,Jordanian,Ras Al Khaimah,2. Very Good,43314,Vice President,Completed,Male,3
